datasetid;title;description;theme;keyword;license;license_url;language;timezone;modified;modified_updates_on_metadata_change;modified_updates_on_data_change;data_processed;metadata_processed;geographic_reference;geographic_reference_auto;territory;publisher;references;records_count;attributions;source_domain;source_domain_title;source_domain_address;source_dataset;shared_catalog;federated;oauth_scope;parent_domain;dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;inspire.theme;inspire.type;inspire.file_identifier;inspire.hierarchy_level;inspire.hierarchy_level_name;inspire.spatial_resolution;inspire.topologic_consistency;inspire.contact_individual_name;inspire.contact_position;inspire.contact_address;inspire.contact_email;inspire.identification_purpose;inspire.extend_description;inspire.extend_bounding_box_westbound_longitude;inspire.extend_bounding_box_eastbound_longitude;inspire.extend_bounding_box_southbound_latitude;inspire.extend_bounding_box_northbound_latitude;dcat_ap_ch.domain;dcat_ap_ch.rights;semantic.rml_mapping;semantic.classes;semantic.properties;explore.download_count
route-du-rhum-2014-implantation-des-bateaux-dans-le-port-de-saint-malo;ROUTE DU RHUM 2014 - Implantation des bateaux dans le port de Saint-Malo;<p>Implantation géographique des bateaux concurrents, sur les pontons et les quais des bassins intérieurs du port de Saint-Malo, lors de la Route du Rhum 2014.</p><p>Les fichiers sont fournis en date du 7 octobre 2014. En fonction des inscriptions définitives et des résultats des qualifications, l'implantation peut varier jusqu'à la date du départ, le 2 novembre 2014.</p>;Sport, Loisirs;voile, sport, port, course, rhum, transatlantique, compétition;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2014-10-17 10:10:33+00:00;;;2017-12-30 15:26:25+00:00;2017-12-30 15:26:26+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/route-du-rhum-2014-implantation-des-bateaux-dans-le-port-de-saint-malo/;91;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13
points-dapport-volontaire-shp;Points d'Apport Volontaire;<p>Localisation géographique des points d'apport volontaire, avec identification de la commune et du type de point (colonne papier ou verre, en surface ou enterrée,...</p>;Environnement;dechets, verre, collecte;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:09:10+00:00;;;2017-12-30 15:30:50+00:00;2017-12-30 15:30:51+00:00;;;;SAINT-MALO AGGLOMERATION;https://www.data.gouv.fr/fr/datasets/points-dapport-volontaire-shp/;274;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32
emplacement-des-arrets-de-bus-du-reseau-transport-saint-malo-agglomeration;Emplacement des Arrêts de Bus du Réseau Transport Saint-Malo Agglomération;<p>Localisation géographique des arrêts de bus du réseau de transport urbain et péri-urbain sur le territoire de l’agglomération du Pays de Saint-Malo.</p>;Transports, Déplacements;reseau-de-transport, bus, arret, transport;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;;;2015-10-19 12:09:11+00:00;;;2017-12-30 15:30:58+00:00;2017-12-30 15:30:59+00:00;;;;SAINT-MALO AGGLOMERATION;https://www.data.gouv.fr/fr/datasets/emplacement-des-arrets-de-bus-du-reseau-transport-saint-malo-agglomeration-2/;273;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96
quartiers-de-saint-malo;Quartiers de Saint-Malo;<p>Délimitation des quartiers de Saint-Malo, avec indication d'autres informations :</p><ul><li>élus de quartiers</li><li>lieu de permanence (maisons de quartier)</li><li>horaires de permanence</li></ul>;Administration, Gouvernement, Finances publiques, Citoyenneté;quartier, élus;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:17:50+00:00;;;2017-12-30 17:47:23+00:00;2017-12-30 17:47:24+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/quartiers-de-saint-malo/;15;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43
plages-sans-tabac;Plages sans tabac;<p>Depuis 2013, sur certaines portions de plages malouines, il est interdit de fumer par arrêté municipal.</p><p>Cette interdiction est valable pendant toute la période de surveillance des plages, en juillet et aout de chaque année.</p>;Santé, Environnement;plage, littoral, tabac, santé;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2015-10-19 12:18:05+00:00;;;2017-12-30 17:46:57+00:00;2017-12-30 17:46:58+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/plages-sans-tabac/;3;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68
emplacement-des-stations-service-a-saint-malo;Emplacement des stations service à Saint-Malo;"<p>Liste et localisation des points de distribution de carburants (""stations service"") sur le territoire de la commune.</p><p>Le champ ""id"" associé à chaque station est celui utilisé par le Ministère de l'Economie, notamment sur le site <a href=""http://www.prix-carburants.gouv.fr"" target=""_blank"">http://www.prix-carburants.gouv.fr</a>.</p><p>La disponibilité de chaque type de carburant est indiqué par un code binaire (0/1)</p>";Transports, Déplacements;carburant;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:18:08+00:00;;;2017-12-30 15:28:52+00:00;2017-12-30 15:28:53+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/emplacement-des-stations-service-a-saint-malo-1/;8;Ministère de l'Economie, de l'Industrie et du Numérique;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17
centrales-photovoltaiques-communales;Centrales photovoltaïques communales;Localisation et liste des centrales photovoltaïques installées sur des propriétés communales;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;photovoltaique, solaire, énergie, électricité, renouvelable;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:18:10+00:00;;;2017-12-30 17:46:45+00:00;2017-12-30 17:46:46+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/centrales-photovoltaiques-communales/;3;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
cimetieres-malouins;Cimetières malouins;"Localisation et emprise des 8 cimetières de Saint-Malo, et du crématorium.

La présence éventuelle d'un carré militaire est indiquée.";Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;crématorium, cimetière;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:18:19+00:00;;;2017-12-30 17:46:29+00:00;2017-12-30 17:46:30+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/cimetieres-malouins/;9;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22
index-des-rues;Index des rues;Liste des voies publiques, avec nom complet officiel et appartenance à l'un des 15 quartiers de Saint-Malo.;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;voirie, voie, rue;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:18:23+00:00;;;2017-12-30 15:28:48+00:00;2017-12-30 15:28:49+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/index-des-rues/;1205;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60
collecteurs-de-piles-et-batteries-usagees;Collecteurs de piles et batteries usagées;"Localisation des bacs de collecte pour les piles et petites batteries usagées, dans les bâtiments municipaux.
";Environnement;déchets, environnement, collecte;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:18:25+00:00;;;2017-12-30 15:26:49+00:00;2017-12-30 15:26:51+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/collecteurs-de-piles-et-batteries-usagees/;4;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
suivez-lhermine-;Suivez l'hermine !;"<p>150 clous, ornés d'une hermine, sont disséminés dans les rues de la Cité Corsaire. Ils matérialisent un parcours historique jalonné de 42 bornes explicatives (dont les données ouvertes sont disponibles <a href=""/explore/dataset/parcours-historique-saint-malo-intra-muros/"">ici</a> </p><p>L'hermine représente les armoiries de la Ville de Saint-Malo, et rappelle son appartenance au duché de Bretagne.</p><p><img src=""http://www.ville-saint-malo.fr/fileadmin/saintmalo/MEDIA/Grand_projets/opendata/plot_hermine.png""/></p>";Culture, Patrimoine;culture, histoire, patrimoine, tourisme;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:18:33+00:00;;;2017-12-30 17:46:13+00:00;2017-12-30 17:46:14+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/suivez-lhermine/;1;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20
parcours-historique-saint-malo-intra-muros;Parcours historique Saint-Malo Intra-Muros;"<p>Liste et localisation des 42 bornes jalonnant le parcours historique dans la vieille ville de Saint-Malo (""Intra-Muros"").</p><p>A chaque panneau (au nombre de 35) et chaque pupitre (au nombre de 7) est associé un QR code qui renvoie vers une page web riche en explications, photos, vidéos ou archives audio.</p><p><img src=""http://www.ville-saint-malo.fr/fileadmin/saintmalo/MEDIA/Grand_projets/opendata/parcours_historique.png""/></p><p>Le tracé qui relie ces bornes, intitulé ""<em>Suivez l'hermine</em>"" est disponible <a href=""/explore/dataset/suivez-lhermine-/"">ici</a>.</p>";Culture, Patrimoine;culture, histoire, patrimoine, tourisme, monument;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2015-10-19 12:18:34+00:00;;;2017-12-30 17:45:16+00:00;2017-12-30 17:45:17+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/parcours-historique-saint-malo-intra-muros/;42;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23
campings;Campings;<p>Localisation des campings municipaux et privés sur le territoire de la commune de Saint-Malo</p>;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;hebergement, tourisme, camping, camping-car;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2015-10-19 12:18:37+00:00;;;2017-12-30 17:44:22+00:00;2017-12-30 17:44:23+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/campings/;4;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31
equipement-sport-loisir-par-communes-2014-iris;Equipement sports et loisirs 2014;<p>La base dénombre les équipements dans le domaine du sport, des loisirs et de la culture au niveau infracommunal (IRIS)</p>;Sport, Loisirs, Culture, Patrimoine;théâtre, Cinéma, Randonné, Plaisance, Baignade, Multisports, Bowling, Skate, Roller, Combat, Salles de sports, sportif, santé, Golf, Athlétisme, Equitation, équestre, Ski, Cyclisme, Tennis, Boulodrome, Natation;http://www.insee.fr/fr/service/default.asp?page=rediffusion/copyright.htm;;fr;;2015-10-20 08:59:30+00:00;;;2017-03-25 05:56:56+00:00;2019-12-27 02:20:28.252061+00:00;;;;INSEE;http://www.insee.fr/fr/themes/detail.asp?reg_id=99&ref_id=equip-sport-loisir-socio;21;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19
nombre-de-fonctions-medicales-et-paramedicales-2014-iris;Nombre de fonctions médicales et paramédicales 2014 (IRIS);<p>Deux bases dénombrent les fonctions médicales et paramédicales, l'une  au niveau communal (arrondissement municipal et commune), l'autre au  niveau infracommunal (IRIS).</p><p>La base infracommunale au niveau IRIS concerne les communes de  France hors Mayotte de 10 000 habitants ou plus. Les IRIS sans  équipements ne sont pas listés dans les fichiers.</p>;Santé;Médical, Paramédical;http://www.insee.fr/fr/service/default.asp?page=rediffusion/copyright.htm;;fr;;2015-10-20 09:17:06+00:00;;;2017-03-25 05:54:31+00:00;2019-12-27 02:20:29.342880+00:00;;;;INSEE;http://www.insee.fr/fr/themes/detail.asp?reg_id=99&ref_id=equip-serv-medical-para;22;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9
offres-demploi-anonymisees;Offres d'emploi anonymisées;<p>Liste des offres d'emploi actives de Pôle Emploi situées dans l'une des 18 communes de Saint-Malo Agglomération</p>;Economie, Business, PME, Développement économique, Emploi;Offres d'emploi;"http://www.emploi-store-dev.fr/portail-developpeur/espacedonneesdoctechnique.contratadhesion;jsessionid=9O1ruXKPn2kWYaWXNyKaInpns2IjiNTMdfCLsTGYRzTvYunNNF8I!2094348772";;fr;;2015-10-20 09:23:57+00:00;;;2017-03-22 11:17:46+00:00;2019-12-27 02:20:30.428073+00:00;;;;Pôle Emploi;http://www.emploi-store-dev.fr/portail-developpeur/espacedonneesdoctechnique#;188;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9
annuaire-des-debits-de-tabac;Annuaire des débits de tabac;Désignation commerciale et adresse postale des débits de tabac en activité.;Economie, Business, PME, Développement économique, Emploi;tabac;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2015-10-20 13:23:10+00:00;;;2017-03-22 11:15:30+00:00;2019-12-27 02:20:32.457742+00:00;;;;Ministère des finances et des comptes publics;https://www.data.gouv.fr/fr/datasets/adresses-des-debits-de-tabac/;48;Geographical locations from OpenStreetMap contributors - http://www.openstreetmap.org;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13
delinquance-2014-en-france;Chiffres Délinquance 2014;"<p>Ces données constituent une actualisation des volumes Criminalité et délinquance constatées en France édités par la Direction centrale de la police judiciaire, publiés jusqu’en 2013 à la Documentation française, et disponibles sur son site internet. Elles contiennent des informations, de caractère administratif, sur l’activité judiciaire des 388 compagnies de gendarmerie départementale et les 405 circonscriptions de sécurité publique de France, y compris celles des DOM-COM, en 2014.</p><p>Le présent jeu de données concerne la zone ""Saint-Malo"".</p>";Justice, Sécurité, Police, Crime;délinquance, Crimes, criminalité;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2015-10-20 13:26:18+00:00;;;2017-03-22 11:14:34+00:00;2019-12-27 02:20:34.155552+00:00;;;;Ministère de l'Intérieur;https://www.data.gouv.fr/fr/datasets/chiffres-relatifs-aux-crimes-et-delits-enregistres-par-les-circonscriptions-de-securite-publique-et-les-compagnies-de-gendarmerie-en-2014/;211;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21
postes-de-secours-sur-les-plages;Postes de secours sur les plages;<p>Pendant la saison estivale sont installés des postes de secours amovibles sur 10 plages de Saint-Malo. La surveillance de la baignade est assurée par des Maitres Nageurs Sauveteurs CRS ainsi que par des volontaires de la Société Nationale de Sauvetage en Mer.</p><p>Ce jeu de données localise les postes de secours sur les plages.</p>;Sport, Loisirs;baignade, mns, plage, secours;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2015-11-17 17:00:30+00:00;;;2017-12-30 15:27:56+00:00;2017-12-30 15:27:57+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/postes-de-secours/;10;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
zones-de-mouillages;Zones de mouillages;<p>La Ville de Saint-Malo est titulaire d'AOT (autorisation d'occupation temporaire) sur le domaine public maritime, afin d'y organiser des zones de mouillage pour les bateaux de plaisance.</p><p>La gestion effective de ces zones, a été confiée à des associations de plaisanciers. Ce jeu de données localise les polygones qui matérialisent les zones de mouillage sur le littoral malouin.</p>;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;aot, dpm, littoral, plaisance;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2015-11-17 17:07:03+00:00;;;2017-12-30 15:28:24+00:00;2017-12-30 15:28:25+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/zones-de-mouillages/;6;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21
defibrillateurs;Défibrillateurs;<p>Localisation des défibrillateurs automatiques externes (DAE) gérés par la commune.</p>;Santé;santé, secours, urgence;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2015-11-17 17:22:40+00:00;;;2017-12-30 15:28:50+00:00;2017-12-30 15:28:51+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/defibrillateurs-1/;26;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27
liste-des-marches-publics-conclus-en-2014;Liste des marchés publics conclus en 2014 par la Ville de Saint-Malo;<p>Liste des marchés conclus par la Ville de Saint-Malo en 2014.</p><p>En application de l'article 133 du Code des Marchés Publics, sont listés les marchés dont le montant H.T. est supérieur au seuil de 15 000 €.</p><div>La colonne Montant HT indique le montant initialement prévu au marché.</div><div>En fonction du type de marché, est indiqué le montant de la première année (marchés reconductibles), le montant maximum (marchés à bons de commandes) ou le cumul de toutes les tranches (marchés à tranches conditionnelles).</div><div>Il s'agit donc d'une autorisation de dépense, et non d'une dépense effectivement mandatée.</div>;Administration, Gouvernement, Finances publiques, Citoyenneté;marché, finance, budget;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2015-11-18 16:38:09+00:00;;;2017-12-30 15:30:47+00:00;2017-12-30 15:30:48+00:00;;;;Ville de Saint-Malo;;111;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23
escales-de-croisieres-dans-le-port-de-saint-malo;Escales de croisières dans le port de Saint-Malo;"<p>Chaque année, le port de Saint-Malo accueille plusieurs dizaines d'escales de bateaux de croisière.</p><p>C'est la Chambre de Commerce et d'Industrie de Saint-Malo Fougères qui a la charge de l'accueil de ces paquebots parfois imposants.</p><p style=""text-align: center;""><img src=""/assets/theme_image/croisiere-port-saint-malo.jpg"" style=""width: 374px;""/></p>";Economie, Business, PME, Développement économique, Emploi;port, tourisme, économie;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2015-11-27 09:52:23+00:00;;;2017-12-30 15:29:00+00:00;2017-12-30 15:29:01+00:00;;;;CCI de Saint-Malo Fougères;http://www.saintmalofougeres.cci.fr/fr/saint-malo-escale-de-croisiere.html;33;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
frequentation-de-loffice-du-tourisme;Fréquentation de l'Office du Tourisme;<p>Données de fréquentation de l'Office du Tourisme de Saint-Malo, ERP communal.</p><p>Le fichier collecte depuis 1998 les données mensuelles du compteur de passages installé dans l'Office.</p><p>Depuis 2014, le nouvel Office de Tourisme est installé au centre de l'Esplanade Saint-Vincent.</p>;Economie, Business, PME, Développement économique, Emploi;tourisme, erp;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2016-03-31 07:45:40+00:00;;;2017-12-30 15:30:18+00:00;2017-12-30 15:30:19+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/frequentation-de-l-office-du-tourisme/;18;Office du Tourisme de Saint-Malo;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23
liste-des-marches-publics-conclus-en-2015;Liste des marchés publics conclus en 2015 par la Ville de Saint-Malo;<p>Liste des marchés conclus par la Ville de Saint-Malo en 2015.</p><p>En application de l'article 133 du Code des Marchés Publics, sont listés les marchés dont le montant H.T. est supérieur au seuil de 15 000 €.</p><div>La colonne Montant HT indique le montant initialement prévu au marché.</div> <div>En fonction du type de marché, est indiqué le montant de la première année (marchés reconductibles), le montant maximum (marchés à bons de commandes) ou le cumul de toutes les tranches (marchés à tranches conditionnelles).</div> <div>Il s'agit donc d'une autorisation de dépense, et non d'une dépense effectivement mandatée.</div>;Administration, Gouvernement, Finances publiques, Citoyenneté;finance, budget, marché;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2016-03-31 08:29:49+00:00;;;2017-12-30 15:30:44+00:00;2017-12-30 15:30:45+00:00;;;;Ville de Saint-Malo;;120;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79
parking-relais-paul-feval-navettes-de-bus-2016;Parking relais Paul Féval - Navettes de bus 2016;"<p>Le parking-relais Paul Féval se situe à l’entrée de la ville de Saint-Malo, près de l’hippodrome de Marville.</p><p>Il est ouvert :</p><ul> 
<li>Durant tout l’été</li><li>Lors des grands événements (Étonnants Voyageurs, Quai des Bulles, Route du Rhum…)</li></ul><p>Il est associé à un service de bus gratuits, qui font la navette entre le parking et la ville intra-muros.</p>";Transports, Déplacements;bus, transport;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2016-04-06 10:00:54+00:00;;;2017-12-30 15:30:56+00:00;2017-12-30 15:30:57+00:00;;;;Ville de Saint-Malo;;88;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93
zones-de-police-et-de-gendarmerie;Zones de police et de gendarmerie;<p>Zones de répartition de compétences entre la Gendarmerie Nationale et la Police Nationale, sur le territoire de Saint-Malo Agglomération.</p>;Justice, Sécurité, Police, Crime;police, gendarmerie;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2016-04-06 13:43:01+00:00;;;2017-12-30 15:27:49+00:00;2017-12-30 15:27:50+00:00;;;;SAINT-MALO AGGLOMERATION;https://www.data.gouv.fr/fr/datasets/competence-territoriale-gendarmerie-et-police-nationales/;3;Ministère de l'Intérieur;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;264
liste-des-marches-publics-conclus-en-2013;Liste des marchés publics conclus en 2013;<p>Liste des marchés publics conclus (notifiés) en 2013 par Saint-Malo Agglomération.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;marché, finance, budget, travaux, services, fournitures;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2016-05-03 08:50:03+00:00;;;2017-12-30 15:30:38+00:00;2017-12-30 15:30:39+00:00;;;;SAINT-MALO AGGLOMERATION;;50;Direction des Finances - Saint-Malo Agglomération;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14
liste-des-marches-publics-conclus-en-20140;Liste des marchés publics conclus en 2014;<p>Liste des marchés publics conclus (notifiés) en 2014 par Saint-Malo Agglomération.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;marché, finance, budget, travaux, services, fournitures;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2016-05-03 13:03:16+00:00;;;2017-12-30 15:27:09+00:00;2017-12-30 15:27:10+00:00;;;;SAINT-MALO AGGLOMERATION;;36;Direction des Finances - Saint-Malo Agglomération;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
liste-des-marches-publics-conclus-en-20150;Liste des marchés publics conclus en 2015;<p>Liste des marchés publics conclus (notifiés) en 2015 par Saint-Malo Agglomération.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;marché, finance, budget, travaux, services, fournitures;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2016-05-03 13:23:01+00:00;;;2017-12-30 15:26:30+00:00;2017-12-30 15:26:31+00:00;;;;SAINT-MALO AGGLOMERATION;;51;Direction des Finances - Saint-Malo Agglomérations;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38
